hs6,chn_reta_2019,n_hs8
010129,25.0,1
010619,10.0,1
010620,10.0,1
010649,10.0,1
010690,25.0,1
020110,25.0,1
020120,25.0,1
020130,25.0,1
020210,25.0,1
020220,25.0,1
020230,25.0,1
020311,25.0,2
020312,25.0,1
020319,25.0,1
020321,25.0,2
020322,25.0,1
020329,25.0,1
020422,25.0,1
020629,25.0,1
020630,25.0,1
020641,25.0,1
020649,25.0,1
020711,25.0,1
020712,25.0,1
020713,25.0,4
020714,25.0,5
020724,25.0,1
020725,25.0,1
020726,25.0,1
020727,25.0,1
020741,25.0,1
020742,25.0,1
020743,25.0,1
020744,25.0,1
020745,25.0,1
020751,25.0,1
020752,25.0,1
020753,25.0,1
020754,25.0,1
020755,25.0,1
020910,25.0,1
021011,25.0,2
021012,25.0,1
021019,25.0,1
021020,25.0,1
021099,25.0,1
030111,25.0,1
030119,25.0,1
030311,25.0,1
030312,25.0,1
030313,25.0,1
030314,25.0,1
030319,25.0,1
030323,25.0,1
030324,25.0,1
030325,25.0,1
030326,25.0,1
030329,25.0,1
030331,25.0,2
030332,25.0,1
030333,25.0,1
030334,25.0,1
030339,25.0,1
030341,25.0,1
030342,25.0,1
030343,25.0,1
030344,25.0,1
030345,25.0,2
030346,25.0,1
030349,25.0,1
030351,25.0,1
030353,25.0,1
030354,25.0,1
030355,25.0,1
030356,25.0,1
030357,25.0,1
030359,25.0,1
030363,25.0,1
030364,25.0,1
030365,25.0,1
030366,25.0,1
030367,25.0,1
030368,25.0,1
030369,25.0,1
030381,25.0,1
030382,25.0,1
030383,25.0,1
030384,25.0,1
030389,25.0,4
030391,25.0,1
030392,25.0,1
030399,25.0,1
030461,25.0,1
030462,25.0,3
030463,25.0,1
030469,25.0,1
030471,25.0,1
030472,25.0,1
030473,25.0,1
030474,25.0,1
030475,25.0,1
030479,25.0,1
030481,25.0,1
030482,25.0,1
030483,25.0,1
030484,25.0,1
030485,25.0,1
030486,25.0,1
030487,25.0,1
030488,25.0,1
030489,25.0,1
030491,25.0,1
030492,25.0,1
030493,25.0,1
030494,25.0,1
030495,25.0,1
030496,25.0,1
030497,25.0,1
030499,25.0,1
030510,25.0,1
030520,25.0,1
030541,25.0,1
030611,25.0,1
030612,25.0,1
030614,25.0,2
030615,25.0,1
030616,25.0,5
030617,25.0,4
030619,25.0,3
030631,25.0,2
030632,25.0,2
030633,25.0,4
030634,25.0,2
030635,25.0,3
030636,25.0,3
030639,25.0,2
030691,25.0,1
030692,25.0,1
030693,25.0,3
030694,25.0,1
030695,25.0,2
030699,25.0,1
030711,25.0,2
030712,25.0,1
030719,25.0,1
030721,25.0,2
030722,25.0,1
030729,25.0,1
030731,25.0,2
030732,25.0,1
030739,25.0,1
030742,25.0,3
030743,25.0,2
030749,25.0,2
030751,25.0,1
030752,25.0,1
030759,25.0,1
030760,25.0,2
030771,25.0,3
030772,25.0,1
030779,25.0,1
030781,25.0,2
030782,25.0,2
030783,25.0,1
030784,25.0,1
030787,25.0,1
030788,25.0,1
030791,25.0,2
030792,25.0,1
030799,25.0,1
030811,25.0,2
030812,25.0,1
030819,25.0,1
030821,25.0,2
030822,25.0,1
030829,25.0,1
030830,25.0,3
030890,25.0,4
040110,25.0,1
040120,25.0,1
040140,25.0,1
040150,25.0,1
040210,25.0,1
040221,25.0,1
040229,25.0,1
040291,25.0,1
040299,25.0,1
040310,25.0,1
040390,25.0,1
040410,25.0,1
040490,25.0,1
040510,25.0,1
040520,25.0,1
040590,25.0,1
040610,25.0,1
040620,25.0,1
040630,25.0,1
040640,25.0,1
040690,25.0,1
040819,10.0,1
040900,25.0,1
041000,25.0,2
050400,25.0,4
050510,20.0,1
050590,10.0,1
050800,25.0,2
051191,10.0,1
051199,25.0,1
060220,20.0,1
060290,25.0,1
060319,25.0,1
060390,25.0,1
060420,25.0,2
060490,25.0,1
070110,25.0,1
070190,25.0,1
070200,25.0,1
070310,25.0,2
070320,25.0,3
070390,25.0,3
070410,25.0,1
070420,25.0,1
070490,25.0,3
070511,25.0,1
070519,25.0,1
070521,25.0,1
070529,25.0,1
070610,25.0,1
070690,25.0,1
070700,25.0,1
070810,25.0,1
070820,25.0,1
070890,25.0,1
070920,25.0,1
070930,25.0,1
070940,25.0,1
070951,25.0,1
070959,25.0,7
070960,25.0,1
070970,25.0,1
070991,25.0,1
070992,25.0,1
070993,25.0,1
070999,25.0,2
071010,10.0,1
071021,25.0,1
071022,10.0,1
071029,25.0,1
071030,25.0,1
071040,10.0,1
071080,10.0,1
071090,10.0,1
071220,25.0,1
071231,25.0,1
071232,25.0,1
071233,25.0,1
071239,25.0,5
071290,25.0,7
071310,25.0,2
071320,25.0,2
071331,25.0,2
071332,25.0,2
071333,25.0,2
071334,25.0,1
071335,25.0,1
071339,25.0,1
071340,25.0,2
071350,25.0,2
071360,25.0,2
071390,25.0,2
071410,25.0,2
071420,23.75,4
071430,25.0,1
071440,25.0,1
071450,25.0,1
071490,25.0,4
080111,25.0,1
080112,25.0,1
080119,25.0,2
080121,25.0,1
080122,25.0,1
080131,25.0,1
080132,25.0,1
080211,25.0,1
080212,25.0,1
080221,25.0,1
080222,25.0,1
080231,25.0,1
080232,25.0,1
080241,25.0,2
080242,25.0,2
080251,25.0,1
080252,25.0,1
080261,25.0,2
080262,25.0,1
080270,25.0,1
080280,25.0,1
080290,25.0,3
080310,25.0,1
