hs6,base_exports,base_imports,v25_exports,v25_imports,import_change25,export_change25,us_tariff_2019,us_tariff_2020,trump1_hit
010619,1914263.6666666667,11277931,2168831,10181552,-0.09721455114417707,0.132984466960403,15,7.5,TRUE
020810,0,2721292.6666666665,0,1831948,-0.3268096363027473,NA,25,25,TRUE
020890,67531,6132696,0,3766468,-0.3858381370933762,NA,20,16.25,TRUE
030289,0,1463545.3333333333,0,1263255,-0.13685283863203412,NA,25,25,TRUE
030323,56400,60621941.666666664,9880,54441731,-0.10194676212531956,NA,25,25,TRUE
030324,0,5705486.666666667,29600,5977187,0.04762088656182406,NA,25,25,TRUE
030326,0,1305564.3333333333,0,1243151,-0.047805636030191744,NA,25,25,TRUE
030369,11602,6404578.666666667,0,4386865,-0.31504237385170697,NA,0,0,FALSE
030389,110334024.33333333,67175316.33333333,154701401,41978278,-0.3750937056745977,0.4021187202655375,25,25,TRUE
030461,172712.5,343914335,78440,293287978,-0.14720630066205295,NA,25,25,TRUE
030462,221058,23761909.333333332,0,11791965,-0.5037450553917328,NA,25,25,TRUE
030469,0,2482905.3333333335,0,3535290,0.4238521108872991,NA,25,25,TRUE
030471,2737130,321019012,6254226,262068081,-0.18363688378680823,1.2849576015753728,0,0,FALSE
030472,168376,71541412,0,68619646,-0.040840205949527524,NA,12.5,12.5,TRUE
030474,0,1324432.3333333333,0,820795,-0.38026656451808155,NA,25,25,TRUE
030475,10421840.666666666,76960143.33333333,2736241,30704103,-0.6010389057227588,-0.7374512730028944,0,0,FALSE
030479,50000,6710725.666666667,1068271,5665122,-0.15581081966446056,NA,25,25,TRUE
030481,579569.6666666666,199610599.33333334,551960,152714235,-0.2349392491679275,NA,25,25,TRUE
030483,194857.33333333334,64895986.333333336,0,52326329,-0.19368928717363568,NA,25,25,TRUE
030489,397589,15789422.666666666,113400,12490521,-0.20893111396853264,NA,25,25,TRUE
030495,203968.66666666666,1286616.6666666667,27300,614347,-0.5225096830187702,NA,12.5,12.5,TRUE
030531,181676,3041671.3333333335,16350,3689600,0.21301731701452725,NA,25,25,TRUE
030532,340815,40355948,0,36761384,-0.08907147962426754,NA,25,25,TRUE
030539,0,1478771,0,1236148,-0.16407070465947737,NA,25,25,TRUE
030559,4800,1865922.3333333333,0,668478,-0.6417439311068145,NA,25,25,TRUE
030569,0,6485212.666666667,0,3805441,-0.41321261220012423,NA,25,25,TRUE
030614,7558725,10623932.333333334,3599895,10045830,-0.05441509934315915,-0.5237430915928282,25,25,TRUE
030619,26000,5488579,0,2505243,-0.543553440699314,NA,25,25,TRUE
030722,309418,29700355,94498,27083236,-0.08811743159298938,NA,25,25,TRUE
030729,41665,1324797.3333333333,0,601144,-0.5462370093337546,NA,25,25,TRUE
030743,102084881.33333333,59190293.333333336,134060198,22980708,-0.611748705643628,0.31322284209998796,25,25,TRUE
030749,5166592,8777362.333333334,14159543,2424301,-0.7238007378602388,1.7405963157144981,25,25,TRUE
030752,0,2949306.3333333335,0,2625754,-0.1097045531271252,NA,25,25,TRUE
030759,0,1231293,0,333081,-0.7294868077703682,NA,25,25,TRUE
030779,109538.5,1763138.6666666667,0,520720,-0.7046630478676663,NA,25,25,TRUE
030783,0,1160953.3333333333,0,1358786,0.170405356517345,NA,25,25,TRUE
040790,128125,6399533,0,10459032,0.6343430059662166,NA,25,25,TRUE
040819,0,1351573,0,1219178,-0.09795623321862748,NA,25,25,TRUE
041090,16000,1080998.3333333333,3043,730278,-0.3244411415990465,NA,NA,NA,FALSE
050210,16137,2894436,0,1750968,-0.3950572754070223,NA,0,0,FALSE
050510,10147866.333333334,74009772.33333333,7835679,32417549,-0.5619828574259857,-0.2278496047724187,15,7.5,TRUE
050800,413216.3333333333,2480373.6666666665,153497,2044608,-0.17568549147366366,NA,25,25,TRUE
051191,2853135.6666666665,4096530.3333333335,3072501,4004614,-0.022437605938228574,0.07688570014254498,25,25,TRUE
051199,7349446,110509095,1392321,90809596,-0.17826133677051648,-0.8105542921194332,25,25,TRUE
060210,45723.666666666664,4451221.666666667,0,3547845,-0.20295027619758327,NA,15,7.5,TRUE
060290,2670752.6666666665,78376968.33333333,1439360,48844235,-0.37680372131430356,-0.4610657819555985,11.666666984558104,5.833333492279053,TRUE
060319,0,1090982.3333333333,0,813095,-0.25471295441081077,NA,3,1.5,TRUE
060390,63217,2589543,0,1815409,-0.2989461847129011,NA,15,7.5,TRUE
060420,134650,1372617.6666666667,74000,395560,-0.711820698796193,NA,6,3,TRUE
060490,454393.3333333334,19944059.333333332,143456,12206225,-0.38797690099130266,NA,15,7.5,TRUE
070310,0,2333254,0,1938029,-0.16938790204581242,NA,25,25,TRUE
070320,305600,118709212.33333333,0,110748999,-0.06705640764409415,NA,25,25,TRUE
070410,0,1321554.6666666667,0,1629841,0.23327550581839968,NA,25,25,TRUE
070954,52784,2791244.6666666665,0,2129367,-0.23712635247310215,NA,NA,NA,FALSE
070959,0,9621646.666666666,0,5738532,-0.4035810918020269,NA,25,25,TRUE
070999,270338,1118600,0,813236,-0.27298766315036654,NA,25,25,TRUE
071021,163769.5,2842533,0,2052382,-0.27797425746684384,NA,25,25,TRUE
071022,0,4377347,3108,3764024,-0.14011294969304466,NA,25,25,TRUE
071029,0,18850011,0,10873250,-0.4231700978848235,NA,23,21.5,TRUE
071030,6120,13089641,0,12587941,-0.03832801831616314,NA,25,25,TRUE
071040,4244575.333333333,2972641.3333333335,7837808,3408318,0.14656213710724597,0.8465470358008333,25,25,TRUE
071080,204991,40106621.333333336,58385,42718579,0.06512534788104475,NA,23.181817770004272,21.8181813955307,TRUE
071090,629707.6666666666,8700491.666666666,293395,11185905,0.2856635496652968,NA,25,25,TRUE
071220,22128.5,10384103,74080,6232385,-0.3998147938247531,NA,25,25,TRUE
071231,18901.5,5129373,0,3284580,-0.3596527294856506,NA,25,25,TRUE
071232,47053.5,1849640.3333333333,0,1550615,-0.16166674566100325,NA,25,25,TRUE
071234,0,4047228,0,4420247,0.09216653966616163,NA,NA,NA,FALSE
071239,135819.66666666666,10882953,242437,10253442,-0.057843767220165335,NA,25,25,TRUE
071290,5523986,84460194.66666667,2744982,67865153,-0.1964835829725612,-0.5030794792021558,25,25,TRUE
071310,23695609.333333332,3567073.3333333335,29144109,2234822,-0.3734858268496489,0.22993709889545225,25,25,TRUE
071331,7600,15091283.666666666,0,13046960,-0.13546386853638756,NA,25,25,TRUE
071332,42319.666666666664,2374407,27000,1940333,-0.18281364568079525,NA,25,25,TRUE
071339,1019195,1832920,215467,1717992,-0.06270213648167951,-0.7885909958349482,25,25,TRUE
071420,3259,29170805,0,28864846,-0.010488534683907421,NA,25,25,TRUE
071430,0,3699343.3333333335,0,2830171,-0.23495314033211304,NA,22.5,20.625,TRUE
071490,0,7515922.666666667,4983,6365717,-0.15303585703028347,NA,25,25,TRUE
080292,0,57087207.333333336,0,20191388,-0.6463062576856828,NA,NA,NA,FALSE
080299,56609963.333333336,3121360.333333333,8310491,594579,-0.8095128608990033,-0.8531973788595164,NA,NA,FALSE
080390,0,1771181,84084,1141150,-0.3557123749633719,NA,25,25,TRUE
080410,30957.333333333336,1032328.6666666666,9993,462468,-0.5520147653234467,NA,25,25,TRUE
080430,57572,2868760.6666666665,0,591605,-0.7937768016432648,NA,25,25,TRUE
080450,10437,2060018,21830,2104220,0.021457094064226623,NA,25,25,TRUE
080540,0,3664041,0,1778681,-0.5145575609006559,NA,15,7.5,TRUE
080810,10553317,2956019.3333333335,11256660,2483504,-0.15984852602452537,0.06664662873293771,25,25,TRUE
080830,115288,13941376.333333334,0,14400098,0.03290361408363096,NA,25,25,TRUE
081090,386981.3333333333,4012208.3333333335,20249,4596378,0.14559803931749968,NA,25,25,TRUE
081190,2353552.3333333335,4692087.666666667,989696,2735820,-0.41692905283170684,-0.5794884243775048,25,25,TRUE
081290,0,1315948.3333333333,0,721332,-0.45185385951069507,NA,25,25,TRUE
081330,499804.6666666666,15880933,0,11549010,-0.27277509451113485,NA,25,25,TRUE
081340,1023711,30941020.333333332,412040,16789185,-0.45738101655578883,-0.5975035923224425,25,25,TRUE
081350,873426.3333333333,2442513,154572,1630759,-0.33234377872297916,NA,25,25,TRUE
090111,1852181.6666666667,12874753.666666666,4633498,174810,-0.9864222644932935,1.5016433773145001,7.5,3.75,TRUE
090112,557061,5628443.333333333,479263,2017471,-0.6415579085513875,NA,7.5,3.75,TRUE
090210,137482,14561371.333333334,185678,13616514,-0.0648879361499698,NA,15,7.5,TRUE
090220,43239.666666666664,22335023,4570,22968877,0.028379375297710684,NA,15,7.5,TRUE
090230,789124,7508807.666666667,324115,4055785,-0.4598629795773612,NA,15,7.5,TRUE
090240,235229.3333333333,17040746,56505,15225996,-0.10649475087534313,NA,15,7.5,TRUE
090411,122594.33333333333,1541780.6666666667,0,1613184,0.04631225107246118,NA,15,7.5,TRUE
090412,196167.66666666666,3455422.6666666665,20933,2918486,-0.1553895770396829,NA,15,7.5,TRUE
090421,501327,51023396,586315,39270068,-0.2303517390335994,NA,15,7.5,TRUE
090422,182313,51791990.666666664,1319265,43748524,-0.15530329232630638,NA,15,7.5,TRUE
090961,23454.5,2513408,0,1790355,-0.2876783236147892,NA,15,7.5,TRUE
091011,0,57864491.333333336,62463,49581123,-0.14315114749071733,NA,15,7.5,TRUE
091012,0,5210900.666666667,0,4338845,-0.16735219541701754,NA,15,7.5,TRUE
091091,18777,3831378.6666666665,7874,3942539,0.029013142005627955,NA,15,7.5,TRUE
091099,38809.666666666664,2123001,0,1701829,-0.19838521036966067,NA,15,7.5,TRUE
100630,70045.5,44843590.333333336,25000,29143357,-0.3501109794427626,NA,25,25,TRUE
110429,0,1215057.3333333333,0,915802,-0.2462890640002721,NA,25,25,TRUE
110620,60459,3951798,0,2194401,-0.44470820623928653,NA,25,25,TRUE
110820,71554,8965375.333333334,0,5948291,-0.3365262714786509,NA,25,25,TRUE
