hs06,us_tariff_2019,us_tariff_2020
010121,15.0,7.5
010129,15.0,7.5
010130,15.0,7.5
010190,15.0,7.5
010221,15.0,7.5
010229,15.0,7.5
010231,15.0,7.5
010239,15.0,7.5
010290,15.0,7.5
010310,15.0,7.5
010391,15.0,7.5
010392,15.0,7.5
010410,15.0,7.5
010420,15.0,7.5
010511,15.0,7.5
010512,15.0,7.5
010513,15.0,7.5
010514,15.0,7.5
010515,15.0,7.5
010594,15.0,7.5
010599,15.0,7.5
010611,15.0,7.5
010612,15.0,7.5
010613,15.0,7.5
010614,15.0,7.5
010619,15.0,7.5
010620,15.0,7.5
010631,15.0,7.5
010632,15.0,7.5
010633,15.0,7.5
010639,15.0,7.5
010641,15.0,7.5
010649,7.5,3.75
010690,10.0,5.0
020110,15.0,7.5
020120,15.0,7.5
020130,15.0,7.5
020210,15.0,7.5
020220,15.0,7.5
020230,15.0,7.5
020311,15.0,7.5
020312,15.0,7.5
020319,15.0,7.5
020321,15.0,7.5
020322,15.0,7.5
020329,25.0,25.0
020410,15.0,7.5
020421,15.0,7.5
020422,15.0,7.5
020423,15.0,7.5
020430,15.0,7.5
020441,15.0,7.5
020442,9.375,4.6875
020443,15.0,7.5
020450,15.0,7.5
020500,15.0,7.5
020610,25.0,25.0
020621,15.0,7.5
020622,15.0,7.5
020629,15.0,7.5
020630,15.0,7.5
020641,15.0,7.5
020649,15.0,7.5
020680,15.0,7.5
020690,7.5,3.75
020711,15.0,7.5
020712,15.0,7.5
020713,15.0,7.5
020714,15.0,7.5
020724,15.0,7.5
020725,15.0,7.5
020726,15.0,7.5
020727,15.0,7.5
020741,15.0,7.5
020742,15.0,7.5
020743,15.0,7.5
020744,15.0,7.5
020745,15.0,7.5
020751,15.0,7.5
020752,15.0,7.5
020753,15.0,7.5
020754,15.0,7.5
020755,15.0,7.5
020760,15.0,7.5
020810,25.0,25.0
020830,15.0,7.5
020840,15.0,7.5
020850,15.0,7.5
020860,15.0,7.5
020890,20.0,16.25
020910,15.0,7.5
020990,15.0,7.5
021011,15.0,7.5
021012,15.0,7.5
021019,25.0,25.0
021020,15.0,7.5
021091,15.0,7.5
021092,15.0,7.5
021093,15.0,7.5
021099,15.0,7.5
030111,25.0,25.0
030119,25.0,25.0
030191,25.0,25.0
030192,25.0,25.0
030193,25.0,25.0
030194,25.0,25.0
030195,25.0,25.0
030199,25.0,25.0
030211,25.0,25.0
030213,25.0,25.0
030214,25.0,25.0
030219,25.0,25.0
030221,25.0,25.0
030222,25.0,25.0
030223,25.0,25.0
030224,25.0,25.0
030229,25.0,25.0
030231,25.0,25.0
030232,25.0,25.0
030233,25.0,25.0
030234,25.0,25.0
030235,25.0,25.0
030236,25.0,25.0
030239,25.0,25.0
030241,25.0,25.0
030242,25.0,25.0
030243,25.0,25.0
030244,25.0,25.0
030245,25.0,25.0
030246,25.0,25.0
030247,25.0,25.0
030249,25.0,25.0
030251,25.0,25.0
030252,25.0,25.0
030254,25.0,25.0
030255,25.0,25.0
030259,25.0,25.0
030271,25.0,25.0
030272,25.0,25.0
030273,25.0,25.0
030274,25.0,25.0
030279,25.0,25.0
030281,25.0,25.0
030282,25.0,25.0
030283,25.0,25.0
030284,25.0,25.0
030285,25.0,25.0
030289,25.0,25.0
030291,25.0,25.0
030292,25.0,25.0
030299,25.0,25.0
030311,25.0,25.0
030312,25.0,25.0
030313,25.0,25.0
030314,25.0,25.0
030319,25.0,25.0
030323,25.0,25.0
030324,25.0,25.0
030325,25.0,25.0
030326,25.0,25.0
030329,25.0,25.0
030331,25.0,25.0
030332,25.0,25.0
030333,25.0,25.0
030334,25.0,25.0
030339,25.0,25.0
030341,25.0,25.0
030342,25.0,25.0
030343,25.0,25.0
030344,25.0,25.0
030345,25.0,25.0
030346,25.0,25.0
030349,25.0,25.0
030351,25.0,25.0
030353,25.0,25.0
030354,25.0,25.0
030355,25.0,25.0
030356,25.0,25.0
030357,25.0,25.0
030359,25.0,25.0
030363,25.0,25.0
030364,25.0,25.0
030365,25.0,25.0
030366,25.0,25.0
030367,25.0,25.0
030368,25.0,25.0
030369,0.0,0.0
030381,25.0,25.0
030382,25.0,25.0
030383,25.0,25.0
030384,25.0,25.0
030389,25.0,25.0
030391,25.0,25.0
030392,25.0,25.0
030399,25.0,25.0
030431,25.0,25.0
030432,25.0,25.0
030433,25.0,25.0
030439,25.0,25.0
030441,25.0,25.0
030442,25.0,25.0
030443,25.0,25.0
030444,25.0,25.0
030445,25.0,25.0
030446,25.0,25.0
030447,25.0,25.0
030449,25.0,25.0
030451,25.0,25.0
030452,25.0,25.0
030453,25.0,25.0
030454,25.0,25.0
030455,25.0,25.0
030459,25.0,25.0
030461,25.0,25.0
030462,25.0,25.0
030463,25.0,25.0
030469,25.0,25.0
030471,0.0,0.0
030472,12.5,12.5
030473,25.0,25.0
030474,25.0,25.0
030475,0.0,0.0
030479,25.0,25.0
030481,25.0,25.0
030482,25.0,25.0
030483,25.0,25.0
030484,25.0,25.0
030485,25.0,25.0
030486,25.0,25.0
030487,25.0,25.0
030488,25.0,25.0
030489,25.0,25.0
030491,25.0,25.0
030492,25.0,25.0
030493,25.0,25.0
030494,0.0,0.0
030495,12.5,12.5
030496,25.0,25.0
030499,25.0,25.0
030510,25.0,25.0
030520,25.0,25.0
030531,25.0,25.0
030532,25.0,25.0
030539,25.0,25.0
030541,25.0,25.0
030542,25.0,25.0
030543,25.0,25.0
030544,25.0,25.0
030549,25.0,25.0
030551,25.0,25.0
030552,25.0,25.0
030553,25.0,25.0
030554,25.0,25.0
030559,25.0,25.0
030561,25.0,25.0
030562,25.0,25.0
030563,25.0,25.0
030564,25.0,25.0
030569,25.0,25.0
030571,25.0,25.0
030572,25.0,25.0
030579,25.0,25.0
030611,25.0,25.0
030612,25.0,25.0
030614,25.0,25.0
030615,25.0,25.0
030616,25.0,25.0
030617,25.0,25.0
030619,25.0,25.0
030631,25.0,25.0
030632,25.0,25.0
030633,25.0,25.0
030634,25.0,25.0
030635,25.0,25.0
030636,25.0,25.0
030639,25.0,25.0
030691,25.0,25.0
030692,25.0,25.0
030693,25.0,25.0
030695,25.0,25.0
030699,25.0,25.0
030711,25.0,25.0
030712,25.0,25.0
030719,25.0,25.0
030721,25.0,25.0
030722,25.0,25.0
030729,25.0,25.0
030731,25.0,25.0
030732,25.0,25.0
030739,25.0,25.0
030742,25.0,25.0
030743,25.0,25.0
030749,25.0,25.0
030751,25.0,25.0
030752,25.0,25.0
030759,25.0,25.0
030760,25.0,25.0
030771,25.0,25.0
030772,25.0,25.0
030779,25.0,25.0
030781,25.0,25.0
030782,25.0,25.0
030783,25.0,25.0
030784,25.0,25.0
030787,25.0,25.0
030788,25.0,25.0
030791,25.0,25.0
030792,25.0,25.0
030799,25.0,25.0
030811,25.0,25.0
030812,25.0,25.0
030819,25.0,25.0
030821,25.0,25.0
030822,25.0,25.0
030829,25.0,25.0
030830,25.0,25.0
030890,25.0,25.0
040110,15.0,7.5
040120,15.0,7.5
040140,15.0,7.5
040150,15.0,7.5
040210,15.0,7.5
040221,15.0,7.5
040229,15.0,7.5
040291,15.0,7.5
040299,15.0,7.5
040310,15.0,7.5
040390,15.0,7.5
040410,25.0,25.0
040490,15.0,7.5
040510,25.0,25.0
040520,15.0,7.5
040590,15.0,7.5
040610,15.0,7.5
040620,15.0,7.5
040630,15.0,7.5
040640,15.0,7.5
040690,15.0,7.5
040711,15.0,7.5
040719,25.0,25.0
040721,25.0,25.0
040729,25.0,25.0
040790,25.0,25.0
040811,25.0,25.0
040819,25.0,25.0
040891,15.0,7.5
040899,25.0,25.0
040900,25.0,25.0
041000,25.0,25.0
050100,15.0,7.5
050210,0.0,0.0
050290,15.0,7.5
050400,15.0,7.5
050510,15.0,7.5
050590,25.0,25.0
050610,25.0,25.0
050690,25.0,25.0
050710,15.0,7.5
050790,25.0,25.0
050800,25.0,25.0
051000,32.5,28.75
051110,25.0,25.0
051191,25.0,25.0
051199,25.0,25.0
060110,13.392858,6.696429
060120,15.0,7.5
060210,15.0,7.5
060220,15.0,7.5
060230,15.0,7.5
060240,15.0,7.5
060290,11.666667,5.8333335
060311,5.0,2.5
060312,15.0,7.5
060313,7.5,3.75
060314,15.0,7.5
060315,15.0,7.5
060319,3.0,1.5
060390,15.0,7.5
060420,6.0,3.0
060490,15.0,7.5
070110,15.0,7.5
070190,10.0,5.0
070200,15.0,7.5
070310,25.0,25.0
070320,25.0,25.0
070390,25.0,25.0
070410,25.0,25.0
070420,15.0,7.5
070490,25.0,25.0
070511,15.0,7.5
070519,15.0,7.5
070521,15.0,7.5
070529,15.0,7.5
070610,25.0,25.0
070690,25.0,25.0
070700,17.5,11.875
070810,25.0,25.0
070820,21.666666,19.166666
070890,19.0,14.5
070920,15.0,7.5
070930,15.0,7.5
070940,25.0,25.0
070951,25.0,25.0
070959,25.0,25.0
070960,25.0,25.0
070970,15.0,7.5
070991,15.0,7.5
070992,15.0,7.5
070993,18.333332,13.333332
070999,25.0,25.0
071010,25.0,25.0
071021,25.0,25.0
071022,25.0,25.0
071029,23.0,21.5
071030,25.0,25.0
071040,25.0,25.0
071080,23.181816,21.81818
071090,25.0,25.0
071120,15.0,7.5
071140,25.0,25.0
071151,25.0,25.0
071159,20.0,16.25
071190,22.5,20.625
071220,25.0,25.0
071231,25.0,25.0
071232,25.0,25.0
071233,25.0,25.0
071239,25.0,25.0
071290,25.0,25.0
071310,25.0,25.0
071320,25.0,25.0
071331,25.0,25.0
071332,25.0,25.0
071333,25.0,25.0
071334,30.0,27.5
071335,25.0,25.0
071339,25.0,25.0
071340,25.0,25.0
071350,25.0,25.0
071360,21.666666,19.166666
071390,25.0,25.0
071410,20.0,16.25
071420,25.0,25.0
071430,22.5,20.625
071440,25.0,25.0
071450,25.0,25.0
071490,25.0,25.0
080111,25.0,25.0
080112,15.0,7.5
080119,25.0,25.0
080121,15.0,7.5
080122,15.0,7.5
080131,25.0,25.0
080132,25.0,25.0
080211,25.0,25.0
080212,25.0,25.0
080221,15.0,7.5
080222,25.0,25.0
080231,25.0,25.0
080232,25.0,25.0
080241,25.0,25.0
080242,25.0,25.0
080251,25.0,25.0
080252,25.0,25.0
080261,15.0,7.5
080262,25.0,25.0
080270,15.0,7.5
080280,20.0,16.25
080290,13.333333,10.833333
080310,20.0,16.25
080390,25.0,25.0
080410,25.0,25.0
080420,25.0,25.0
080430,25.0,25.0
080440,15.0,7.5
080450,25.0,25.0
080510,25.0,25.0
080521,25.0,25.0
080522,25.0,25.0
080529,25.0,25.0
080540,15.0,7.5
080550,15.0,7.5
080590,15.0,7.5
080610,15.0,7.5
080620,25.0,25.0
080711,15.0,7.5
080719,15.0,7.5
080720,15.0,7.5
080810,25.0,25.0
080830,25.0,25.0
080840,25.0,25.0
080910,15.0,7.5
080921,15.0,7.5
080929,25.0,25.0
080930,25.0,25.0
080940,15.0,7.5
081010,25.0,25.0
081020,20.0,16.25
081030,25.0,25.0
081040,25.0,25.0
081050,15.0,7.5
081060,15.0,7.5
081070,25.0,25.0
081090,25.0,25.0
081110,25.0,25.0
081120,25.0,25.0
081190,25.0,25.0
081210,15.0,7.5
081290,25.0,25.0
081310,25.0,25.0
081320,25.0,25.0
081330,25.0,25.0
081340,25.0,25.0
081350,25.0,25.0
081400,25.0,25.0
090111,7.5,3.75
090112,7.5,3.75
090121,11.25,5.625
090122,15.0,7.5
090190,15.0,7.5
090210,15.0,7.5
090220,15.0,7.5
090230,15.0,7.5
090240,15.0,7.5
090300,15.0,7.5
090411,15.0,7.5
090412,15.0,7.5
090421,15.0,7.5
090422,15.0,7.5
090510,15.0,7.5
090520,15.0,7.5
090611,15.0,7.5
090619,15.0,7.5
090620,15.0,7.5
090710,15.0,7.5
090720,15.0,7.5
090811,15.0,7.5
090812,15.0,7.5
090821,15.0,7.5
090822,15.0,7.5
090831,15.0,7.5
090832,15.0,7.5
090921,15.0,7.5
090922,15.0,7.5
090931,15.0,7.5
090932,15.0,7.5
090961,15.0,7.5
090962,15.0,7.5
091011,15.0,7.5
091012,15.0,7.5
091020,15.0,7.5
091030,15.0,7.5
091091,15.0,7.5
091099,15.0,7.5
100111,25.0,25.0
100119,15.0,7.5
100191,15.0,7.5
100199,25.0,25.0
100210,15.0,7.5
100290,15.0,7.5
100310,25.0,25.0
100390,25.0,25.0
100410,25.0,25.0
100490,25.0,25.0
100510,7.5,3.75
100590,25.0,25.0
100610,15.0,7.5
100620,25.0,25.0
100630,25.0,25.0
100640,25.0,25.0
100710,25.0,25.0
100790,25.0,25.0
100810,25.0,25.0
100821,25.0,25.0
100829,25.0,25.0
100830,25.0,25.0
100840,15.0,7.5
100850,25.0,25.0
100860,15.0,7.5
100890,25.0,25.0
110100,25.0,25.0
110220,25.0,25.0
110290,25.0,25.0
110311,25.0,25.0
110313,25.0,25.0
110319,25.0,25.0
110320,25.0,25.0
110412,25.0,25.0
110419,25.0,25.0
110422,25.0,25.0
110423,25.0,25.0
110429,25.0,25.0
110430,25.0,25.0
110510,25.0,25.0
110520,25.0,25.0
110610,25.0,25.0
110620,25.0,25.0
110630,25.0,25.0
110710,25.0,25.0
110720,25.0,25.0
110811,25.0,25.0
110812,25.0,25.0
110813,25.0,25.0
110814,25.0,25.0
110819,25.0,25.0
110820,25.0,25.0
110900,25.0,25.0
120110,25.0,25.0
120190,25.0,25.0
120230,22.5,17.5
120241,15.0,7.5
120242,15.0,7.5
120300,15.0,7.5
120400,25.0,25.0
120510,25.0,25.0
120590,25.0,25.0
120600,25.0,25.0
120710,15.0,7.5
120721,15.0,7.5
120729,15.0,7.5
120730,15.0,7.5
120740,25.0,25.0
120750,25.0,25.0
120760,25.0,25.0
120770,25.0,25.0
120791,25.0,25.0
120799,25.0,25.0
120810,25.0,25.0
120890,25.0,25.0
120910,25.0,25.0
120921,25.0,25.0
120922,15.0,7.5
120923,15.0,7.5
120924,15.0,7.5
120925,25.0,25.0
120929,25.0,25.0
120930,25.0,25.0
120991,25.0,25.0
120999,25.0,25.0
121010,25.0,25.0
121020,7.5,3.75
121120,25.0,25.0
121130,25.0,25.0
121150,25.0,25.0
121190,28.0,26.5
121221,25.0,25.0
121229,25.0,25.0
121291,0.0,0.0
121292,25.0,25.0
121293,15.0,7.5
121294,15.0,7.5
121299,25.0,25.0
121300,25.0,25.0
121410,25.0,25.0
121490,25.0,25.0
130120,15.0,7.5
130190,11.25,5.625
130211,15.0,7.5
130212,15.0,7.5
130213,15.0,7.5
130214,15.0,7.5
130219,15.0,7.5
130220,15.0,7.5
130231,15.0,7.5
130232,15.0,7.5
