Data Type,HTS Number,Year,Description,Customs Value
Customs Value,010129,2015,"HORSES, LIVE, OTHER THAN PUREBRED BREEDING",106500.00
Customs Value,010612,2025,"WHALES, DOLPHINS, PORPOISES; MANATEES, DUNGONGS; SEALS, SEA LIONS ETC, LIVE",2072.00
Customs Value,010619,2016,"MAMMALS, LIVE, NESOI",15620.00
Customs Value,010619,2017,"MAMMALS, LIVE, NESOI",11085.00
Customs Value,010619,2022,"MAMMALS, LIVE, NESOI",83943.00
Customs Value,010619,2023,"MAMMALS, LIVE, NESOI",23000.00
Customs Value,010619,2024,"MAMMALS, LIVE, NESOI",215595.00
Customs Value,010619,2025,"MAMMALS, LIVE, NESOI",48323.00
Customs Value,010620,2022,LIVE REPTILES (INCLUDING SNAKES AND TURTLES),347320.00
Customs Value,010620,2023,LIVE REPTILES (INCLUDING SNAKES AND TURTLES),220004.00
Customs Value,010620,2024,LIVE REPTILES (INCLUDING SNAKES AND TURTLES),228409.00
Customs Value,010620,2025,LIVE REPTILES (INCLUDING SNAKES AND TURTLES),172218.00
Customs Value,010649,2022,"INSECTS OTHER THAN BEES, LIVE",44627.00
Customs Value,010649,2023,"INSECTS OTHER THAN BEES, LIVE",47060.00
Customs Value,010649,2024,"INSECTS OTHER THAN BEES, LIVE",49584.00
Customs Value,010649,2025,"INSECTS OTHER THAN BEES, LIVE",44146.00
Customs Value,010690,2015,"ANIMALS, LIVE, NESOI",1514535.00
Customs Value,010690,2016,"ANIMALS, LIVE, NESOI",1393730.00
Customs Value,010690,2017,"ANIMALS, LIVE, NESOI",1435617.00
Customs Value,010690,2022,"ANIMALS, LIVE, NESOI",2236240.00
Customs Value,010690,2023,"ANIMALS, LIVE, NESOI",3199752.00
Customs Value,010690,2024,"ANIMALS, LIVE, NESOI",3540315.00
Customs Value,010690,2025,"ANIMALS, LIVE, NESOI",2422334.00
Customs Value,021093,2023,"REPTILE MEAT AND EDIBLE OFFAL, SALTED, IN BRINE, DRIED, OR SMOKED, INCLUDING EDIBLE FLOURS & MEALS OF MEAT OR MEAT OFFAL",8893.00
Customs Value,030111,2015,"ORNAMENTAL FISH, LIVE, FRESHWATER",1492812.00
Customs Value,030111,2016,"ORNAMENTAL FISH, LIVE, FRESHWATER",1776216.00
Customs Value,030111,2017,"ORNAMENTAL FISH, LIVE, FRESHWATER",1837198.00
Customs Value,030111,2022,"ORNAMENTAL FISH, LIVE, FRESHWATER",2708898.00
Customs Value,030111,2023,"ORNAMENTAL FISH, LIVE, FRESHWATER",2690424.00
Customs Value,030111,2024,"ORNAMENTAL FISH, LIVE, FRESHWATER",2467921.00
Customs Value,030111,2025,"ORNAMENTAL FISH, LIVE, FRESHWATER",1207291.00
Customs Value,030119,2015,"ORNAMENTAL FISH, LIVE, OTHER THAN FRESHWATER",5118.00
Customs Value,030119,2016,"ORNAMENTAL FISH, LIVE, OTHER THAN FRESHWATER",3858.00
Customs Value,030119,2017,"ORNAMENTAL FISH, LIVE, OTHER THAN FRESHWATER",29001.00
